City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,antonio enes,-16.2325,39.9086,25.5,84,35,2.75,MZ,1697660115
256,east london,-33.0153,27.9116,19.49000000000001,84,96,6.71,ZA,1697659841
257,pacasmayo,-7.4006,-79.5714,22.25,74,35,7.53,PE,1697660116
258,belyy yar,53.6039,91.3903,0.9399999999999977,100,75,0.0,RU,1697660117
259,yuzhno-kurilsk,44.0306,145.8556,14.100000000000023,58,99,6.22,RU,1697660117
260,akureyri,65.6835,-18.0878,7.960000000000036,61,20,2.57,IS,1697660118
261,shiloh,38.5614,-89.8973,23.879999999999995,37,40,5.66,US,1697660118
262,floro,61.5996,5.0328,6.0400000000000205,75,100,3.6,NO,1697660119
263,praia da vitoria,38.7333,-27.0667,23.140000000000043,88,75,9.92,PT,1697660119
264,punta arenas,-53.15,-70.9167,15.060000000000002,47,0,9.26,CL,1697660120
265,quellon,-43.1167,-73.6167,13.670000000000016,72,48,2.18,CL,1697660120
266,pangobilian,8.8011,117.8594,26.25,85,95,1.5,PH,1697660121
267,mata-utu,-13.2816,-176.1745,27.05000000000001,79,100,10.94,WF,1697660122
268,sarankhola,22.3082,89.7897,23.08000000000004,83,5,1.91,BD,1697660122
269,hotan,37.0997,79.9269,10.230000000000018,21,76,2.11,CN,1697660123
270,okhotsk,59.3833,143.3,-4.3700000000000045,62,100,3.22,RU,1697660123
271,graaff-reinet,-32.2522,24.5308,15.510000000000048,78,75,4.22,ZA,1697660124
272,bahir dar,11.5936,37.3908,16.99000000000001,84,88,1.48,ET,1697660125
273,balkanabat,39.5108,54.3671,19.04000000000002,41,28,3.04,TM,1697660126
274,lorengau,-2.0226,147.2712,26.410000000000025,79,78,0.93,PG,1697660126
275,taro,-8.3862,115.28,22.0,92,99,0.3,ID,1697659887
276,inhambane,-23.865,35.3833,20.970000000000027,90,0,3.18,MZ,1697660127
277,keflavik,64.0049,-22.5624,10.240000000000009,76,100,16.46,IS,1697660128
278,yanchep,-31.55,115.6833,16.08000000000004,86,51,2.1,AU,1697660129
279,axim,4.8699,-2.2405,25.510000000000048,89,60,2.74,GH,1697659865
280,qamdo,31.1667,97.2333,-4.5499999999999545,86,20,2.8,CN,1697660130
281,hartford city,40.4511,-85.37,18.450000000000045,60,100,6.36,US,1697660130
282,severo-yeniseyskiy,60.3725,93.0408,4.210000000000036,98,100,2.24,RU,1697660131
283,broken hill,-31.95,141.4333,16.180000000000007,36,0,3.13,AU,1697660131
284,new norfolk,-42.7826,147.0587,9.28000000000003,77,95,1.21,AU,1697659876
285,magadan,59.5667,150.8,-2.319999999999993,75,9,4.92,RU,1697660133
286,cayambe,0.05,-78.1333,22.590000000000032,59,94,3.3,EC,1697660133
287,alice springs,-23.7,133.8833,9.75,29,0,2.57,AU,1697659848
288,saint dennis,38.1884,-85.8458,21.060000000000002,52,75,6.17,US,1697660134
289,yarmouth,41.7057,-70.2286,16.120000000000005,81,100,3.09,US,1697660135
290,qarah zia' od din,38.8915,45.0255,11.480000000000018,65,72,0.39,IR,1697660135
291,ghat,24.9647,10.1728,29.390000000000043,20,89,2.72,LY,1697660136
292,hami,42.8,93.45,9.840000000000032,36,0,1.36,CN,1697660136
293,damghan,36.1683,54.348,16.74000000000001,47,0,1.39,IR,1697660137
294,manay,7.215,126.5397,25.04000000000002,84,66,1.5,PH,1697660137
295,kimbo,10.4,-13.55,25.27000000000004,92,83,0.66,GN,1697660138
296,nanzhang chengguanzhen,31.7839,111.8275,17.150000000000034,82,100,3.59,CN,1697660138
297,afaahiti,-17.75,-149.2833,23.930000000000007,85,92,8.22,PF,1697660139
298,happy valley-goose bay,53.3168,-60.3315,8.170000000000016,61,75,5.14,CA,1697660140
299,boguchany,58.3814,97.4531,2.140000000000043,79,98,1.34,RU,1697660140
300,mejit,10.2753,170.8646,28.379999999999995,77,44,7.26,MH,1697660141
301,posto fiscal rolim de moura,-13.0833,-62.2667,36.879999999999995,30,94,0.91,BR,1697660141
302,wewak,-3.5534,143.6268,25.650000000000034,86,72,0.81,PG,1697660142
303,gurupi,-11.7292,-49.0686,39.31,11,7,3.24,BR,1697660143
304,wuwei,37.9281,102.6414,4.680000000000007,60,24,1.66,CN,1697660143
305,rehoboth,-23.3167,17.0833,22.140000000000043,13,0,0.46,NA,1697660144
306,gadzhiyevo,69.2551,33.3362,1.7300000000000182,60,100,11.54,RU,1697660145
307,la passe,45.5549,-0.8967,17.77000000000004,85,63,3.12,FR,1697659890
308,viedma,-40.8135,-62.9967,26.30000000000001,15,39,7.71,AR,1697660146
309,rongelap,11.1635,166.8941,26.52000000000004,85,100,9.71,MH,1697660146
310,caconda,-13.7333,15.0667,20.58000000000004,57,0,4.21,AO,1697660147
311,ancud,-41.8697,-73.8203,12.100000000000023,77,6,4.8,CL,1697660147
312,forster,-32.1667,152.5167,14.050000000000011,93,100,0.43,AU,1697660118
313,ceske budejovice,48.9745,14.4743,6.720000000000027,81,98,1.34,CZ,1697660148
314,al hazm,16.1641,44.7769,24.510000000000048,24,0,0.61,YE,1697660149
315,dunedin,-45.8742,170.5036,12.110000000000014,75,60,0.89,NZ,1697660149
316,nova sintra,14.8667,-24.7167,24.879999999999995,71,0,5.81,CV,1697660150
317,gejiu,23.306,103.1635,11.550000000000011,95,93,0.66,CN,1697660150
318,waingapu,-9.6567,120.2641,24.83000000000004,79,93,2.61,ID,1697660151
319,bodaybo,57.8506,114.1933,1.3799999999999955,87,100,2.68,RU,1697660152
320,nuku'alofa,-21.1333,-175.2,22.24000000000001,62,82,8.21,TO,1697660152
321,el calafate,-50.3408,-72.2768,11.710000000000036,58,38,3.21,AR,1697659853
322,san patricio,28.017,-97.5169,29.370000000000005,38,3,5.18,US,1697659899
323,lerwick,60.1545,-1.1494,10.0,87,52,10.41,GB,1697660153
324,xilin hot,43.9667,116.0333,1.1800000000000068,55,9,4.19,CN,1697660154
325,tofol,5.3248,163.0078,28.060000000000002,75,100,4.7,FM,1697659873
326,ndjole,-0.1783,10.7649,22.860000000000014,99,100,0.34,GA,1697660155
327,shache,38.4167,77.2406,11.800000000000011,23,17,2.91,CN,1697660155
328,balakhta,55.38,91.6,4.82000000000005,92,6,1.77,RU,1697659876
